time_s,sample_time,file_offset,c0_address,mapped_address,channel,register,data,same_wait_order_all,same_wait_order_selected,current_frac,current_low,current_high,current_16_8,loop_low,loop_high,loop_16,end,delta,volume_l,volume_r,control,bank,full_rom_address,type80_block,payload_index,enabled,audible,start_retrigger
85.396440,3765983,0x0576B9,0x0010,0x10,2,cur_low,0x06,0,0,0x06,0x00,0x00,0x000006,0x00,0x00,0x0000,0x0C,0x80,0x3F,0x3F,0x02,0x00000,0x000000,0,0x00000,1,1,
85.396463,3765984,0x0576BE,0x0012,0x12,2,vol_l,0x01,0,0,0x06,0x00,0x00,0x000006,0x00,0x00,0x0000,0x0C,0x80,0x01,0x3F,0x02,0x00000,0x000000,0,0x00000,1,1,
85.396463,3765984,0x0576C2,0x0013,0x13,2,vol_r,0x1E,1,1,0x06,0x00,0x00,0x000006,0x00,0x00,0x0000,0x0C,0x80,0x01,0x1E,0x02,0x00000,0x000000,0,0x00000,1,1,
85.396485,3765985,0x0576C7,0x0014,0x14,2,loop_mid,0x00,0,0,0x06,0x00,0x00,0x000006,0x00,0x00,0x0000,0x0C,0x80,0x01,0x1E,0x02,0x00000,0x000000,0,0x00000,1,1,
85.396485,3765985,0x0576CB,0x0094,0x94,2,cur_mid,0x00,1,1,0x06,0x00,0x00,0x000006,0x00,0x00,0x0000,0x0C,0x80,0x01,0x1E,0x02,0x00000,0x000000,0,0x00000,1,1,current_low_write
85.396508,3765986,0x0576D0,0x0015,0x15,2,loop_high,0xD9,0,0,0x06,0x00,0x00,0x000006,0x00,0xD9,0xD900,0x0C,0x80,0x01,0x1E,0x02,0x00000,0x000000,0,0x00000,1,1,
85.396508,3765986,0x0576D4,0x0095,0x95,2,cur_high,0xD9,1,1,0x06,0x00,0xD9,0xD90006,0x00,0xD9,0xD900,0x0C,0x80,0x01,0x1E,0x02,0x00000,0x00D900,1,0x07500,1,1,current_pair_complete
85.396508,3765986,0x0576D8,0x0016,0x16,2,end,0xE9,2,2,0x06,0x00,0xD9,0xD90006,0x00,0xD9,0xD900,0xE9,0x80,0x01,0x1E,0x02,0x00000,0x00D900,1,0x07500,1,1,
85.396531,3765987,0x0576DD,0x0096,0x96,2,ctrl,0x02,0,0,0x06,0x00,0xD9,0xD90006,0x00,0xD9,0xD900,0xE9,0x80,0x01,0x1E,0x02,0x00000,0x00D900,1,0x07500,1,1,retrigger_commit
85.533628,3772033,0x05789E,0x0014,0x14,2,loop_mid,0x00,0,0,0x06,0x00,0xD9,0xD90006,0x00,0xD9,0xD900,0xE9,0x80,0x01,0x1E,0x02,0x00000,0x00D900,1,0x07500,1,1,
85.533628,3772033,0x0578A2,0x0094,0x94,2,cur_mid,0x00,1,1,0x06,0x00,0xD9,0xD90006,0x00,0xD9,0xD900,0xE9,0x80,0x01,0x1E,0x02,0x00000,0x00D900,1,0x07500,1,1,current_low_write
85.533628,3772033,0x0578A6,0x0015,0x15,2,loop_high,0xD9,2,2,0x06,0x00,0xD9,0xD90006,0x00,0xD9,0xD900,0xE9,0x80,0x01,0x1E,0x02,0x00000,0x00D900,1,0x07500,1,1,
85.533628,3772033,0x0578AA,0x0095,0x95,2,cur_high,0xD9,3,3,0x06,0x00,0xD9,0xD90006,0x00,0xD9,0xD900,0xE9,0x80,0x01,0x1E,0x02,0x00000,0x00D900,1,0x07500,1,1,current_pair_complete
85.533673,3772035,0x0578AF,0x0096,0x96,2,ctrl,0x02,0,0,0x06,0x00,0xD9,0xD90006,0x00,0xD9,0xD900,0xE9,0x80,0x01,0x1E,0x02,0x00000,0x00D900,1,0x07500,1,1,retrigger_commit
86.100295,3797023,0x058315,0x0010,0x10,2,cur_low,0x02,0,0,0x02,0x00,0xD9,0xD90002,0x00,0xD9,0xD900,0xE9,0x80,0x01,0x1E,0x02,0x00000,0x00D900,1,0x07500,1,1,
