time_s,sample_time,file_offset,c0_address,mapped_address,channel,register,data,same_wait_order_all,same_wait_order_selected,current_frac,current_low,current_high,current_16_8,loop_low,loop_high,loop_16,end,delta,volume_l,volume_r,control,bank,full_rom_address,type80_block,payload_index,enabled,audible,start_retrigger
0.039773,1754,0x017B98,0x0010,0x10,2,cur_low,0x01,0,0,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x00,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,
0.039796,1755,0x017B9D,0x0012,0x12,2,vol_l,0x3F,0,0,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x00,0x00,0x3F,0x00,0x00,0x00000,0x000000,0,0x00000,1,1,volume_on
0.039819,1756,0x017BA2,0x0013,0x13,2,vol_r,0x3F,0,0,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x00,0x00,0x3F,0x3F,0x00,0x00000,0x000000,0,0x00000,1,1,
0.039819,1756,0x017BA6,0x0014,0x14,2,loop_mid,0x00,1,1,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x00,0x00,0x3F,0x3F,0x00,0x00000,0x000000,0,0x00000,1,1,
0.039841,1757,0x017BAB,0x0094,0x94,2,cur_mid,0x00,0,0,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x00,0x00,0x3F,0x3F,0x00,0x00000,0x000000,0,0x00000,1,1,current_low_write
0.039841,1757,0x017BAF,0x0015,0x15,2,loop_high,0x00,1,1,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x00,0x00,0x3F,0x3F,0x00,0x00000,0x000000,0,0x00000,1,1,
0.039841,1757,0x017BB3,0x0095,0x95,2,cur_high,0x00,2,2,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x00,0x00,0x3F,0x3F,0x00,0x00000,0x000000,0,0x00000,1,1,current_pair_complete
0.039864,1758,0x017BB8,0x0016,0x16,2,end,0x0C,0,0,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x00,0x3F,0x3F,0x00,0x00000,0x000000,0,0x00000,1,1,
0.039864,1758,0x017BBC,0x0017,0x17,2,delta,0x80,1,1,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x80,0x3F,0x3F,0x00,0x00000,0x000000,0,0x00000,1,1,
0.039864,1758,0x017BC0,0x0096,0x96,2,ctrl,0x02,2,2,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x80,0x3F,0x3F,0x02,0x00000,0x000000,0,0x00000,1,1,retrigger_commit
0.040522,1787,0x017BC6,0x0018,0x18,3,cur_low,0x0C,0,0,0x0C,0x00,0x00,0x00000C,0x00,0x00,0x0000,0x00,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,
0.040544,1788,0x017BCB,0x001A,0x1A,3,vol_l,0x3F,0,0,0x0C,0x00,0x00,0x00000C,0x00,0x00,0x0000,0x00,0x00,0x3F,0x00,0x00,0x00000,0x000000,0,0x00000,1,1,volume_on
0.040544,1788,0x017BCF,0x001B,0x1B,3,vol_r,0x20,1,1,0x0C,0x00,0x00,0x00000C,0x00,0x00,0x0000,0x00,0x00,0x3F,0x20,0x00,0x00000,0x000000,0,0x00000,1,1,
0.040567,1789,0x017BD4,0x001C,0x1C,3,loop_mid,0x00,0,0,0x0C,0x00,0x00,0x00000C,0x00,0x00,0x0000,0x00,0x00,0x3F,0x20,0x00,0x00000,0x000000,0,0x00000,1,1,
0.040567,1789,0x017BD8,0x009C,0x9C,3,cur_mid,0x00,1,1,0x0C,0x00,0x00,0x00000C,0x00,0x00,0x0000,0x00,0x00,0x3F,0x20,0x00,0x00000,0x000000,0,0x00000,1,1,current_low_write
0.040590,1790,0x017BDD,0x001D,0x1D,3,loop_high,0x00,0,0,0x0C,0x00,0x00,0x00000C,0x00,0x00,0x0000,0x00,0x00,0x3F,0x20,0x00,0x00000,0x000000,0,0x00000,1,1,
0.040590,1790,0x017BE1,0x009D,0x9D,3,cur_high,0x00,1,1,0x0C,0x00,0x00,0x00000C,0x00,0x00,0x0000,0x00,0x00,0x3F,0x20,0x00,0x00000,0x000000,0,0x00000,1,1,current_pair_complete
0.040590,1790,0x017BE5,0x001E,0x1E,3,end,0x5D,2,2,0x0C,0x00,0x00,0x00000C,0x00,0x00,0x0000,0x5D,0x00,0x3F,0x20,0x00,0x00000,0x000000,0,0x00000,1,1,
0.040612,1791,0x017BEA,0x001F,0x1F,3,delta,0xA0,0,0,0x0C,0x00,0x00,0x00000C,0x00,0x00,0x0000,0x5D,0xA0,0x3F,0x20,0x00,0x00000,0x000000,0,0x00000,1,1,
0.040612,1791,0x017BEE,0x009E,0x9E,3,ctrl,0x12,1,1,0x0C,0x00,0x00,0x00000C,0x00,0x00,0x0000,0x5D,0xA0,0x3F,0x20,0x12,0x20000,0x020000,5,0x08D00,1,1,retrigger_commit
0.040907,1804,0x017BF3,0x0020,0x20,4,cur_low,0x08,0,0,0x08,0x00,0x00,0x000008,0x00,0x00,0x0000,0x00,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,
0.040930,1805,0x017BF8,0x0022,0x22,4,vol_l,0x00,0,0,0x08,0x00,0x00,0x000008,0x00,0x00,0x0000,0x00,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,
0.040930,1805,0x017BFC,0x0023,0x23,4,vol_r,0x00,1,1,0x08,0x00,0x00,0x000008,0x00,0x00,0x0000,0x00,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,
0.040952,1806,0x017C01,0x0024,0x24,4,loop_mid,0x00,0,0,0x08,0x00,0x00,0x000008,0x00,0x00,0x0000,0x00,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,
0.040952,1806,0x017C05,0x00A4,0xA4,4,cur_mid,0x00,1,1,0x08,0x00,0x00,0x000008,0x00,0x00,0x0000,0x00,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,current_low_write
0.040975,1807,0x017C0A,0x0025,0x25,4,loop_high,0x00,0,0,0x08,0x00,0x00,0x000008,0x00,0x00,0x0000,0x00,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,
0.040975,1807,0x017C0E,0x00A5,0xA5,4,cur_high,0x00,1,1,0x08,0x00,0x00,0x000008,0x00,0x00,0x0000,0x00,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,current_pair_complete
0.040975,1807,0x017C12,0x0026,0x26,4,end,0x36,2,2,0x08,0x00,0x00,0x000008,0x00,0x00,0x0000,0x36,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,
0.040998,1808,0x017C17,0x0027,0x27,4,delta,0x00,0,0,0x08,0x00,0x00,0x000008,0x00,0x00,0x0000,0x36,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,
0.040998,1808,0x017C1B,0x00A6,0xA6,4,ctrl,0x0A,1,1,0x08,0x00,0x00,0x000008,0x00,0x00,0x0000,0x36,0x00,0x00,0x00,0x0A,0x10000,0x010000,3,0x04400,1,0,control_active
0.245102,10809,0x017C3E,0x0012,0x12,2,vol_l,0x00,0,0,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x80,0x00,0x3F,0x02,0x00000,0x000000,0,0x00000,1,1,
0.245102,10809,0x017C42,0x0013,0x13,2,vol_r,0x00,1,1,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x80,0x00,0x00,0x02,0x00000,0x000000,0,0x00000,1,0,
0.245125,10810,0x017C47,0x0014,0x14,2,loop_mid,0x00,0,0,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x80,0x00,0x00,0x02,0x00000,0x000000,0,0x00000,1,0,
0.245125,10810,0x017C4B,0x0094,0x94,2,cur_mid,0x00,1,1,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x80,0x00,0x00,0x02,0x00000,0x000000,0,0x00000,1,0,current_low_write
0.245147,10811,0x017C50,0x0015,0x15,2,loop_high,0x00,0,0,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x80,0x00,0x00,0x02,0x00000,0x000000,0,0x00000,1,0,
0.245147,10811,0x017C54,0x0095,0x95,2,cur_high,0x00,1,1,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x80,0x00,0x00,0x02,0x00000,0x000000,0,0x00000,1,0,current_pair_complete
0.245170,10812,0x017C59,0x0017,0x17,2,delta,0x00,0,0,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x00,0x00,0x00,0x02,0x00000,0x000000,0,0x00000,1,0,
0.245170,10812,0x017C5D,0x0096,0x96,2,ctrl,0x02,1,1,0x01,0x00,0x00,0x000001,0x00,0x00,0x0000,0x0C,0x00,0x00,0x00,0x02,0x00000,0x000000,0,0x00000,1,0,control_active
0.245624,10832,0x017C63,0x0028,0x28,5,cur_low,0x03,0,0,0x03,0x00,0x00,0x000003,0x00,0x00,0x0000,0x00,0x00,0x00,0x00,0x00,0x00000,0x000000,0,0x00000,1,0,
0.245646,10833,0x017C68,0x002A,0x2A,5,vol_l,0x1E,0,0,0x03,0x00,0x00,0x000003,0x00,0x00,0x0000,0x00,0x00,0x1E,0x00,0x00,0x00000,0x000000,0,0x00000,1,1,volume_on
0.245646,10833,0x017C6C,0x002B,0x2B,5,vol_r,0x0D,1,1,0x03,0x00,0x00,0x000003,0x00,0x00,0x0000,0x00,0x00,0x1E,0x0D,0x00,0x00000,0x000000,0,0x00000,1,1,
0.245669,10834,0x017C71,0x002C,0x2C,5,loop_mid,0x00,0,0,0x03,0x00,0x00,0x000003,0x00,0x00,0x0000,0x00,0x00,0x1E,0x0D,0x00,0x00000,0x000000,0,0x00000,1,1,
0.245669,10834,0x017C75,0x00AC,0xAC,5,cur_mid,0x00,1,1,0x03,0x00,0x00,0x000003,0x00,0x00,0x0000,0x00,0x00,0x1E,0x0D,0x00,0x00000,0x000000,0,0x00000,1,1,current_low_write
0.245669,10834,0x017C79,0x002D,0x2D,5,loop_high,0xEA,2,2,0x03,0x00,0x00,0x000003,0x00,0xEA,0xEA00,0x00,0x00,0x1E,0x0D,0x00,0x00000,0x000000,0,0x00000,1,1,
0.245669,10834,0x017C7D,0x00AD,0xAD,5,cur_high,0xEA,3,3,0x03,0x00,0xEA,0xEA0003,0x00,0xEA,0xEA00,0x00,0x00,0x1E,0x0D,0x00,0x00000,0x00EA00,2,0x03C00,1,1,current_pair_complete
