time_s,sample_time,file_offset,c0_address,mapped_address,channel,register,data,same_wait_order_all,same_wait_order_selected,current_frac,current_low,current_high,current_16_8,loop_low,loop_high,loop_16,end,delta,volume_l,volume_r,control,bank,full_rom_address,type80_block,payload_index,enabled,audible,start_retrigger
0.016553,730,0x00EECC,0x0008,0x08,1,cur_low,0x00,0,0,0x00,0xFF,0xFF,0xFFFF00,0xFF,0xFF,0xFFFF,0xFF,0xFF,0xFF,0xFF,0xFF,0x70000,0x07FFFF,,,0,1,
0.016553,730,0x00EED0,0x000A,0x0A,1,vol_l,0x27,1,1,0x00,0xFF,0xFF,0xFFFF00,0xFF,0xFF,0xFFFF,0xFF,0xFF,0x27,0xFF,0xFF,0x70000,0x07FFFF,,,0,1,
0.016576,731,0x00EED5,0x000B,0x0B,1,vol_r,0x28,0,0,0x00,0xFF,0xFF,0xFFFF00,0xFF,0xFF,0xFFFF,0xFF,0xFF,0x27,0x28,0xFF,0x70000,0x07FFFF,,,0,1,
0.016576,731,0x00EED9,0x000C,0x0C,1,loop_mid,0xE6,1,1,0x00,0xFF,0xFF,0xFFFF00,0xE6,0xFF,0xFFE6,0xFF,0xFF,0x27,0x28,0xFF,0x70000,0x07FFFF,,,0,1,
0.016576,731,0x00EEDD,0x008C,0x8C,1,cur_mid,0xE6,2,2,0x00,0xE6,0xFF,0xFFE600,0xE6,0xFF,0xFFE6,0xFF,0xFF,0x27,0x28,0xFF,0x70000,0x07FFE6,,,0,1,current_low_write
0.016599,732,0x00EEE2,0x000D,0x0D,1,loop_high,0x3B,0,0,0x00,0xE6,0xFF,0xFFE600,0xE6,0x3B,0x3BE6,0xFF,0xFF,0x27,0x28,0xFF,0x70000,0x07FFE6,,,0,1,
0.016599,732,0x00EEE6,0x008D,0x8D,1,cur_high,0x3B,1,1,0x00,0xE6,0x3B,0x3BE600,0xE6,0x3B,0x3BE6,0xFF,0xFF,0x27,0x28,0xFF,0x70000,0x073BE6,,,0,1,current_pair_complete
0.016599,732,0x00EEEA,0x000E,0x0E,1,end,0x7F,2,2,0x00,0xE6,0x3B,0x3BE600,0xE6,0x3B,0x3BE6,0x7F,0xFF,0x27,0x28,0xFF,0x70000,0x073BE6,,,0,1,
0.016621,733,0x00EEEF,0x000F,0x0F,1,delta,0x90,0,0,0x00,0xE6,0x3B,0x3BE600,0xE6,0x3B,0x3BE6,0x7F,0x90,0x27,0x28,0xFF,0x70000,0x073BE6,,,0,1,
0.016621,733,0x00EEF3,0x008E,0x8E,1,ctrl,0xC2,1,1,0x00,0xE6,0x3B,0x3BE600,0xE6,0x3B,0x3BE6,0x7F,0x90,0x27,0x28,0xC2,0x40000,0x043BE6,3,0x02D09,1,1,control_enable
