time_s,sample_time,file_offset,c0_address,mapped_address,channel,register,data,same_wait_order_all,same_wait_order_selected,current_frac,current_low,current_high,current_16_8,loop_low,loop_high,loop_16,end,delta,volume_l,volume_r,control,bank,full_rom_address,type80_block,payload_index,enabled,audible,start_retrigger
26.069342,1149658,0x0308B8,0x0007,0x07,0,delta,0x59,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x59,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.103946,1151184,0x03097E,0x000F,0x0F,1,delta,0x59,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x59,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.206553,1155709,0x0309FB,0x0007,0x07,0,delta,0x58,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x58,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.241156,1157235,0x030A1E,0x000F,0x0F,1,delta,0x58,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x58,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.326621,1161004,0x030A9C,0x0007,0x07,0,delta,0x57,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x57,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.361224,1162530,0x030AC5,0x000F,0x0F,1,delta,0x57,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x57,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.412381,1164786,0x030B11,0x0007,0x07,0,delta,0x56,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x56,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.446984,1166312,0x030B34,0x000F,0x0F,1,delta,0x56,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x56,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.463832,1167055,0x030B47,0x0007,0x07,0,delta,0x55,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x55,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.498435,1168581,0x030B86,0x000F,0x0F,1,delta,0x55,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x55,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.515306,1169325,0x030C03,0x0007,0x07,0,delta,0x54,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x54,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.549592,1170837,0x030C21,0x0007,0x07,0,delta,0x53,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x53,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.549887,1170850,0x030C26,0x000F,0x0F,1,delta,0x54,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x54,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.584195,1172363,0x030C4F,0x000F,0x0F,1,delta,0x53,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x53,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.601066,1173107,0x030C5C,0x0007,0x07,0,delta,0x52,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x52,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
26.635646,1174632,0x030CBB,0x000F,0x0F,1,delta,0x52,0,0,0x18,0x00,0x00,0x000018,0x00,0x00,0x0000,0x3F,0x52,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
27.098050,1195024,0x030EE0,0x0000,0x00,0,cur_low,0x1C,0,0,0x1C,0x00,0x00,0x00001C,0x00,0x00,0x0000,0x3F,0x52,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
27.098095,1195026,0x030EE5,0x0004,0x04,0,loop_mid,0x00,0,0,0x1C,0x00,0x00,0x00001C,0x00,0x00,0x0000,0x3F,0x52,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
27.098095,1195026,0x030EE9,0x0084,0x84,0,cur_mid,0x00,1,1,0x1C,0x00,0x00,0x00001C,0x00,0x00,0x0000,0x3F,0x52,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,current_low_write
27.098095,1195026,0x030EED,0x0005,0x05,0,loop_high,0x96,2,2,0x1C,0x00,0x00,0x00001C,0x00,0x96,0x9600,0x3F,0x52,0x20,0x02,0x3A,0x30000,0x030000,3,0x11000,1,1,
27.098118,1195027,0x030EF2,0x0085,0x85,0,cur_high,0x96,0,0,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0x3F,0x52,0x20,0x02,0x3A,0x30000,0x039600,3,0x1A600,1,1,current_pair_complete
27.098118,1195027,0x030EF6,0x0006,0x06,0,end,0xD5,1,1,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x52,0x20,0x02,0x3A,0x30000,0x039600,3,0x1A600,1,1,
27.098118,1195027,0x030EFA,0x0007,0x07,0,delta,0x5A,2,2,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x5A,0x20,0x02,0x3A,0x30000,0x039600,3,0x1A600,1,1,
27.098141,1195028,0x030EFF,0x0086,0x86,0,ctrl,0x5A,0,0,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x5A,0x20,0x02,0x5A,0x50000,0x059600,6,0x21800,1,1,retrigger_commit
27.132834,1196558,0x030FC4,0x0008,0x08,1,cur_low,0x1C,0,0,0x1C,0x00,0x00,0x00001C,0x00,0x00,0x0000,0x3F,0x52,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
27.132880,1196560,0x030FC9,0x000C,0x0C,1,loop_mid,0x00,0,0,0x1C,0x00,0x00,0x00001C,0x00,0x00,0x0000,0x3F,0x52,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
27.132880,1196560,0x030FCD,0x008C,0x8C,1,cur_mid,0x00,1,1,0x1C,0x00,0x00,0x00001C,0x00,0x00,0x0000,0x3F,0x52,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,current_low_write
27.132880,1196560,0x030FD1,0x000D,0x0D,1,loop_high,0x96,2,2,0x1C,0x00,0x00,0x00001C,0x00,0x96,0x9600,0x3F,0x52,0x02,0x20,0x3A,0x30000,0x030000,3,0x11000,1,1,
27.132902,1196561,0x030FD6,0x008D,0x8D,1,cur_high,0x96,0,0,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0x3F,0x52,0x02,0x20,0x3A,0x30000,0x039600,3,0x1A600,1,1,current_pair_complete
27.132902,1196561,0x030FDA,0x000E,0x0E,1,end,0xD5,1,1,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x52,0x02,0x20,0x3A,0x30000,0x039600,3,0x1A600,1,1,
27.132902,1196561,0x030FDE,0x000F,0x0F,1,delta,0x5A,2,2,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x5A,0x02,0x20,0x3A,0x30000,0x039600,3,0x1A600,1,1,
27.132925,1196562,0x030FE3,0x008E,0x8E,1,ctrl,0x5A,0,0,0x1C,0x00,0x96,0x96001C,0x00,0x96,0x9600,0xD5,0x5A,0x02,0x20,0x5A,0x50000,0x059600,6,0x21800,1,1,retrigger_commit
28.539138,1258576,0x0315D8,0x0000,0x00,0,cur_low,0x1D,0,0,0x1D,0x00,0x96,0x96001D,0x00,0x96,0x9600,0xD5,0x5A,0x20,0x02,0x5A,0x50000,0x059600,6,0x21800,1,1,
28.539184,1258578,0x0315DD,0x0004,0x04,0,loop_mid,0x00,0,0,0x1D,0x00,0x96,0x96001D,0x00,0x96,0x9600,0xD5,0x5A,0x20,0x02,0x5A,0x50000,0x059600,6,0x21800,1,1,
28.539184,1258578,0x0315E1,0x0084,0x84,0,cur_mid,0x00,1,1,0x1D,0x00,0x96,0x96001D,0x00,0x96,0x9600,0xD5,0x5A,0x20,0x02,0x5A,0x50000,0x059600,6,0x21800,1,1,current_low_write
28.539184,1258578,0x0315E5,0x0005,0x05,0,loop_high,0x00,2,2,0x1D,0x00,0x96,0x96001D,0x00,0x00,0x0000,0xD5,0x5A,0x20,0x02,0x5A,0x50000,0x059600,6,0x21800,1,1,
28.539206,1258579,0x0315EA,0x0085,0x85,0,cur_high,0x00,0,0,0x1D,0x00,0x00,0x00001D,0x00,0x00,0x0000,0xD5,0x5A,0x20,0x02,0x5A,0x50000,0x050000,5,0x21400,1,1,current_pair_complete
28.539206,1258579,0x0315EE,0x0006,0x06,0,end,0x03,1,1,0x1D,0x00,0x00,0x00001D,0x00,0x00,0x0000,0x03,0x5A,0x20,0x02,0x5A,0x50000,0x050000,5,0x21400,1,1,
