time,channel,rom_request_address,table,payload_index,response_source,response_byte,consume_byte,jt_output,oracle_byte,response_match,consume_match
0.016640000,1,0x43BE6,hit3,0x02D09,DDR,0x7F,0x7F,-79,0x7F,1,1
0.016672000,1,0x43BE6,hit3,0x02D09,DDR,0x7F,0x7F,-79,0x7F,1,1
0.016704000,1,0x43BE7,hit3,0x02D0A,DDR,0x85,0x85,395,0x85,1,1
0.016736000,1,0x43BE7,hit3,0x02D0A,DDR,0x85,0x85,395,0x85,1,1
0.016768000,1,0x43BE8,hit3,0x02D0B,DDR,0x82,0x82,158,0x82,1,1
0.016800000,1,0x43BE8,hit3,0x02D0B,DDR,0x82,0x82,158,0x82,1,1
0.016832000,1,0x43BE9,hit3,0x02D0C,DDR,0x7B,0x7B,-395,0x7B,1,1
0.016864000,1,0x43BE9,hit3,0x02D0C,DDR,0x7B,0x7B,-395,0x7B,1,1
0.016896000,1,0x43BEA,hit3,0x02D0D,DDR,0x85,0x85,395,0x85,1,1
0.016928000,1,0x43BEB,hit3,0x02D0E,DDR,0x89,0x89,711,0x89,1,1
0.016960000,1,0x43BEB,hit3,0x02D0E,DDR,0x89,0x89,711,0x89,1,1
0.016992000,1,0x43BEC,hit3,0x02D0F,DDR,0x74,0x74,-948,0x74,1,1
0.017024000,1,0x43BEC,hit3,0x02D0F,DDR,0x74,0x74,-948,0x74,1,1
0.017056000,1,0x43BED,hit3,0x02D10,DDR,0x77,0x77,-711,0x77,1,1
0.017088000,1,0x43BED,hit3,0x02D10,DDR,0x77,0x77,-711,0x77,1,1
0.017088000,3,0x429AB,hit1,0x01CE3,DDR,0x7D,0x7D,0,0x7D,1,1
0.017120000,1,0x43BEE,hit3,0x02D11,DDR,0x95,0x95,1659,0x95,1,1
0.017120000,3,0x429AB,hit1,0x01CE3,DDR,0x7D,0x7D,0,0x7D,1,1
0.017152000,1,0x43BEF,hit3,0x02D12,DDR,0x7F,0x7F,-79,0x7F,1,1
0.017152000,3,0x429AC,hit1,0x01CE4,DDR,0x6B,0x6B,0,0x6B,1,1
0.017184000,1,0x43BEF,hit3,0x02D12,DDR,0x7F,0x7F,-79,0x7F,1,1
0.017184000,3,0x429AC,hit1,0x01CE4,DDR,0x6B,0x6B,0,0x6B,1,1
0.017216000,1,0x43BF0,hit3,0x02D13,DDR,0x67,0x67,-1975,0x67,1,1
0.017216000,3,0x429AD,hit1,0x01CE5,DDR,0x70,0x70,0,0x70,1,1
0.017248000,1,0x43BF0,hit3,0x02D13,DDR,0x67,0x67,-1975,0x67,1,1
0.017248000,3,0x429AD,hit1,0x01CE5,DDR,0x70,0x70,0,0x70,1,1
0.017280000,1,0x43BF1,hit3,0x02D14,DDR,0x89,0x89,711,0x89,1,1
0.017280000,3,0x429AE,hit1,0x01CE6,DDR,0x7B,0x7B,0,0x7B,1,1
0.017312000,1,0x43BF1,hit3,0x02D14,DDR,0x89,0x89,711,0x89,1,1
0.017312000,3,0x429AE,hit1,0x01CE6,DDR,0x7B,0x7B,0,0x7B,1,1
0.017344000,1,0x43BF2,hit3,0x02D15,DDR,0x80,0x80,0,0x80,1,1
0.017344000,3,0x429AF,hit1,0x01CE7,DDR,0x7C,0x7C,0,0x7C,1,1
0.017376000,1,0x43BF2,hit3,0x02D15,DDR,0x80,0x80,0,0x80,1,1
0.017376000,3,0x429AF,hit1,0x01CE7,DDR,0x7C,0x7C,0,0x7C,1,1
0.017408000,1,0x43BF3,hit3,0x02D16,DDR,0x86,0x86,474,0x86,1,1
0.017408000,3,0x429B0,hit1,0x01CE8,DDR,0x77,0x77,0,0x77,1,1
0.017440000,1,0x43BF4,hit3,0x02D17,DDR,0x67,0x67,-1975,0x67,1,1
0.017440000,3,0x429B0,hit1,0x01CE8,DDR,0x77,0x77,0,0x77,1,1
0.017472000,1,0x43BF4,hit3,0x02D17,DDR,0x67,0x67,-1975,0x67,1,1
0.017472000,3,0x429B1,hit1,0x01CE9,DDR,0x72,0x72,0,0x72,1,1
0.017504000,1,0x43BF5,hit3,0x02D18,DDR,0x8D,0x8D,1027,0x8D,1,1
0.017504000,3,0x429B1,hit1,0x01CE9,DDR,0x72,0x72,0,0x72,1,1
0.017536000,1,0x43BF5,hit3,0x02D18,DDR,0x8D,0x8D,1027,0x8D,1,1
0.017536000,3,0x429B2,hit1,0x01CEA,DDR,0x79,0x79,0,0x79,1,1
0.017568000,1,0x43BF6,hit3,0x02D19,DDR,0x90,0x90,1264,0x90,1,1
0.017568000,3,0x429B2,hit1,0x01CEA,DDR,0x79,0x79,0,0x79,1,1
0.017600000,1,0x43BF6,hit3,0x02D19,DDR,0x90,0x90,1264,0x90,1,1
0.017600000,3,0x429B3,hit1,0x01CEB,DDR,0x7C,0x7C,0,0x7C,1,1
0.017632000,1,0x43BF7,hit3,0x02D1A,DDR,0x66,0x66,-2054,0x66,1,1
0.017632000,3,0x429B3,hit1,0x01CEB,DDR,0x7C,0x7C,0,0x7C,1,1
0.017632000,5,0x40C1D,hit0,0x00000,DDR,0x87,0x87,882,0x87,1,1
0.017664000,1,0x43BF8,hit3,0x02D1B,DDR,0x85,0x85,395,0x85,1,1
0.017664000,3,0x429B4,hit1,0x01CEC,DDR,0x6C,0x6C,0,0x6C,1,1
0.017664000,5,0x40C1D,hit0,0x00000,DDR,0x87,0x87,882,0x87,1,1
0.017696000,1,0x43BF8,hit3,0x02D1B,DDR,0x85,0x85,395,0x85,1,1
0.017696000,3,0x429B4,hit1,0x01CEC,DDR,0x6C,0x6C,0,0x6C,1,1
0.017696000,5,0x40C1D,hit0,0x00000,DDR,0x87,0x87,882,0x87,1,1
0.017728000,1,0x43BF9,hit3,0x02D1C,DDR,0x87,0x87,553,0x87,1,1
0.017728000,3,0x429B5,hit1,0x01CED,DDR,0x73,0x73,0,0x73,1,1
0.017728000,5,0x40C1E,hit0,0x00001,DDR,0x7C,0x7C,-504,0x7C,1,1
0.017760000,1,0x43BF9,hit3,0x02D1C,DDR,0x87,0x87,553,0x87,1,1
0.017760000,3,0x429B5,hit1,0x01CED,DDR,0x73,0x73,0,0x73,1,1
0.017760000,5,0x40C1E,hit0,0x00001,DDR,0x7C,0x7C,-504,0x7C,1,1
0.017792000,1,0x43BFA,hit3,0x02D1D,DDR,0x83,0x83,237,0x83,1,1
0.017792000,3,0x429B6,hit1,0x01CEE,DDR,0x7D,0x7D,0,0x7D,1,1
0.017792000,5,0x40C1F,hit0,0x00002,DDR,0x8F,0x8F,1890,0x8F,1,1
0.017824000,1,0x43BFA,hit3,0x02D1D,DDR,0x83,0x83,237,0x83,1,1
0.017824000,3,0x429B6,hit1,0x01CEE,DDR,0x7D,0x7D,0,0x7D,1,1
