slot,sys_cycle,channel,jt_state,current_16_8,control,generation,rom_address,state15_request,state1_early_request,request_mux_winner,request_mux_loser,fifo_push,response_valid,response_byte,response_address,response_generation,retained_exact_hit,retag_event,prefetch_valid,consume_byte,state12_stall,jt_output_valid,jt_left,jt_right
107025,9363545,5,12,eb4900,02,58,0eb48,1,0,1,0,1,1,8c,0eb48,58,0,0,1,8c,0,0,-252,-252
107026,9363753,2,12,043680,02,11,00436,1,0,1,0,1,1,7b,00436,11,0,0,1,7b,0,0,-252,-252
107027,9363769,3,12,724f40,12,52,1724e,1,0,3,0,0,0,b4,1724e,52,1,1,1,b4,0,0,-252,-252
107028,9363785,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-252,-252
107029,9363801,5,12,eb49a0,02,58,0eb49,1,0,1,0,1,1,6e,0eb49,58,0,0,1,6e,0,0,-252,-252
107030,9364009,2,12,043700,02,11,00436,1,0,3,0,0,0,7b,00436,11,1,1,1,7b,0,0,-315,-315
107031,9364025,3,12,724fe0,12,52,1724f,1,0,1,0,1,1,b0,1724f,52,0,0,1,b0,0,0,-315,-315
107032,9364041,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-315,-315
107033,9364057,5,12,eb4a40,02,58,0eb49,1,0,3,0,0,0,6e,0eb49,58,1,1,1,6e,0,0,-315,-315
107034,9364265,2,12,043780,02,11,00437,1,0,1,0,1,1,7c,00437,11,0,0,1,7c,0,0,-315,-315
107035,9364281,3,12,725080,12,52,1724f,1,0,3,0,0,0,b0,1724f,52,1,1,1,b0,0,0,-315,-315
107036,9364297,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-315,-315
107037,9364313,5,12,eb4ae0,02,58,0eb4a,1,0,1,0,1,1,a0,0eb4a,58,0,0,1,a0,0,0,-315,-315
107038,9364521,2,12,043800,02,11,00437,1,0,3,0,0,0,7c,00437,11,1,1,1,7c,0,0,-252,-252
107039,9364537,3,12,725120,12,52,17250,1,0,1,0,1,1,b7,17250,52,0,0,1,b7,0,0,-252,-252
107040,9364553,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-252,-252
107041,9364569,5,12,eb4b80,02,58,0eb4a,1,0,3,0,0,0,a0,0eb4a,58,1,1,1,a0,0,0,-252,-252
107042,9364777,2,12,043880,02,11,00438,1,0,1,0,1,1,7c,00438,11,0,0,1,7c,0,0,-252,-252
107043,9364793,3,12,7251c0,12,52,17251,1,0,1,0,1,1,b6,17251,52,0,0,1,b6,0,0,-252,-252
107044,9364809,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-252,-252
107045,9364825,5,12,eb4c20,02,58,0eb4b,1,0,1,0,1,1,8c,0eb4b,58,0,0,1,8c,0,0,-252,-252
107046,9365033,2,12,043900,02,11,00438,1,0,3,0,0,0,7c,00438,11,1,1,1,7c,0,0,-252,-252
107047,9365049,3,12,725260,12,52,17251,1,0,3,0,0,0,b6,17251,52,1,1,1,b6,0,0,-252,-252
107048,9365065,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-252,-252
107049,9365081,5,12,eb4cc0,02,58,0eb4c,1,0,1,0,1,1,72,0eb4c,58,0,0,1,72,0,0,-252,-252
107050,9365289,2,12,043980,02,11,00439,1,0,1,0,1,1,7c,00439,11,0,0,1,7c,0,0,-252,-252
107051,9365305,3,12,710100,12,54,17100,1,0,3,0,1,1,80,17100,54,1,1,1,80,0,0,-252,-252
107052,9365321,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-252,-252
107053,9365337,5,12,eb4d60,02,58,0eb4c,1,0,3,0,0,0,72,0eb4c,58,1,1,1,72,0,0,-252,-252
107054,9365545,2,12,043a00,02,11,00439,1,0,3,0,0,0,7c,00439,11,1,1,1,7c,0,0,-252,-252
107055,9365561,3,12,7101a0,12,55,17101,1,0,3,0,1,1,80,17101,55,1,1,1,80,0,0,-252,-252
107056,9365577,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-252,-252
107057,9365593,5,12,eb4e00,02,58,0eb4d,1,0,1,0,1,1,6c,0eb4d,58,0,0,1,6c,0,0,-252,-252
107058,9365801,2,12,043a80,02,11,0043a,1,0,1,0,1,1,7c,0043a,11,0,0,1,7c,0,0,-252,-252
107059,9365817,3,12,710240,12,55,17101,1,0,3,0,0,0,80,17101,55,1,1,1,80,0,0,-252,-252
107060,9365833,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-252,-252
107061,9365849,5,12,eb4ea0,02,58,0eb4e,1,0,1,0,1,1,96,0eb4e,58,0,0,1,96,0,0,-252,-252
107062,9366057,2,12,043b00,02,11,0043a,1,0,3,0,0,0,7c,0043a,11,1,1,1,7c,0,0,-252,-252
107063,9366073,3,12,7102e0,12,55,17102,1,0,1,0,1,1,81,17102,55,0,0,1,81,0,0,-252,-252
107064,9366089,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-252,-252
107065,9366105,5,12,eb4f40,02,58,0eb4e,1,0,3,0,0,0,96,0eb4e,58,1,1,1,96,0,0,-252,-252
107066,9366313,2,12,043b80,02,11,0043b,1,0,1,0,1,1,7d,0043b,11,0,0,1,7d,0,0,-252,-252
107067,9366329,3,12,710380,12,55,17102,1,0,3,0,0,0,81,17102,55,1,1,1,81,0,0,-252,-252
107068,9366345,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-252,-252
107069,9366361,5,12,eb4fe0,02,58,0eb4f,1,0,1,0,1,1,7e,0eb4f,58,0,0,1,7e,0,0,-252,-252
107070,9366569,2,12,043c00,02,11,0043b,1,0,3,0,0,0,7d,0043b,11,1,1,1,7d,0,0,-189,-189
107071,9366585,3,12,710420,12,55,17103,1,0,1,0,1,1,80,17103,55,0,0,1,80,0,0,-189,-189
107072,9366601,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-189,-189
107073,9366617,5,12,eb5080,02,58,0eb4f,1,0,3,0,0,0,7e,0eb4f,58,1,1,1,7e,0,0,-189,-189
107074,9366825,2,12,043c80,02,11,0043c,1,0,1,0,1,1,7d,0043c,11,0,0,1,7d,0,0,-189,-189
107075,9366841,3,12,7104c0,12,55,17104,1,0,1,0,1,1,81,17104,55,0,0,1,81,0,0,-189,-189
107076,9366857,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-189,-189
107077,9366873,5,12,eb5120,02,58,0eb50,1,0,1,0,1,1,89,0eb50,58,0,0,1,89,0,0,-189,-189
107078,9367081,2,12,043d00,02,11,0043c,1,0,3,0,0,0,7d,0043c,11,1,1,1,7d,0,0,-189,-189
107079,9367097,3,12,710560,12,55,17104,1,0,3,0,0,0,81,17104,55,1,1,1,81,0,0,-189,-189
107080,9367113,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-189,-189
107081,9367129,5,12,eb51c0,02,58,0eb51,1,0,1,0,1,1,89,0eb51,58,0,0,1,89,0,0,-189,-189
107082,9367337,2,12,043d80,02,11,0043d,1,0,1,0,1,1,7d,0043d,11,0,0,1,7d,0,0,-189,-189
107083,9367353,3,12,710600,12,55,17105,1,0,1,0,1,1,84,17105,55,0,0,1,84,0,0,-189,-189
107084,9367369,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-189,-189
107085,9367385,5,12,eb5260,02,58,0eb51,1,0,3,0,0,0,89,0eb51,58,1,1,1,89,0,0,-189,-189
107086,9367593,2,12,043e00,02,11,0043d,1,0,3,0,0,0,7d,0043d,11,1,1,1,7d,0,0,-189,-189
107087,9367609,3,12,7106a0,12,55,17106,1,0,1,0,1,1,99,17106,55,0,0,1,99,0,0,-189,-189
107088,9367625,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-189,-189
107089,9367641,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367642,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367643,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367644,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367645,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367646,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367647,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367648,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367649,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367650,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367651,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367652,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367653,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367654,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367655,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367656,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367657,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367658,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367659,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
107089,9367660,5,12,eb5260,02,59,20000,1,0,1,0,1,1,7e,0eb52,58,0,0,0,80,1,0,-189,-189
