slot,sys_cycle,channel,jt_state,current_16_8,control,generation,rom_address,state15_request,state1_early_request,request_mux_winner,request_mux_loser,fifo_push,response_valid,response_byte,response_address,response_generation,retained_exact_hit,retag_event,prefetch_valid,consume_byte,state12_stall,jt_output_valid,jt_left,jt_right
107087,9367609,3,12,7106a0,12,55,17106,1,0,1,0,1,1,99,17106,55,0,0,1,99,0,0,-189,-189
107088,9367625,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-189,-189
107089,9367641,5,12,eb5260,02,59,0eb52,1,0,1,0,1,1,7e,0eb52,58,0,0,1,7e,0,0,-189,-189
107090,9367849,2,12,043e80,02,11,0043e,1,0,1,0,1,1,7d,0043e,11,0,0,1,7d,0,0,-189,-189
107091,9367865,3,12,710740,12,55,17106,1,0,3,0,0,0,99,17106,55,1,1,1,99,0,0,-189,-189
107092,9367881,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-189,-189
107093,9367897,5,12,ea5300,02,60,0ea52,1,0,3,0,1,1,7f,0ea52,60,1,1,1,7f,0,0,-189,-189
128643,10747193,3,12,7251c0,12,82,17251,1,0,1,0,1,1,b6,17251,82,0,0,1,b6,0,0,0,0
128644,10747209,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,0,0
128645,10747225,5,12,eb4b80,02,88,0eb4a,1,0,3,0,0,0,a0,0eb4a,88,1,1,1,a0,0,0,0,0
128646,10747433,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,0,0
128647,10747449,3,12,725260,12,82,17251,1,0,3,0,0,0,b6,17251,82,1,1,1,b6,0,0,0,0
128648,10747465,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,0,0
128649,10747481,5,12,eb4c20,02,88,0eb4b,1,0,1,0,1,1,8c,0eb4b,88,0,0,1,8c,0,0,0,0
128650,10747689,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,0,2047
128651,10747705,3,12,720100,12,83,17200,1,1,3,0,1,1,72,17200,83,1,1,1,72,0,0,0,2047
128652,10747721,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,0,2047
128653,10747737,5,12,eb4cc0,02,88,0eb4c,1,0,1,0,1,1,72,0eb4c,88,0,0,1,72,0,0,0,2047
128654,10747945,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,-882,-882
128655,10747961,3,12,7101a0,12,85,17101,1,1,3,0,1,1,80,17101,85,1,1,1,80,0,0,-882,-882
128656,10747977,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,-882,-882
128657,10747993,5,12,eb4d60,02,88,0eb4c,1,0,3,0,0,0,72,0eb4c,88,1,1,1,72,0,0,-882,-882
128658,10748201,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,0,0
128659,10748217,3,12,710240,12,85,17101,1,0,3,0,0,0,80,17101,85,1,1,1,80,0,0,0,0
128660,10748233,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,0,0
128661,10748249,5,12,eb4e00,02,88,0eb4d,1,0,1,0,1,1,6c,0eb4d,88,0,0,1,6c,0,0,0,0
128662,10748457,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,0,0
128663,10748473,3,12,7102e0,12,85,17102,1,0,1,0,1,1,81,17102,85,0,0,1,81,0,0,0,0
128664,10748489,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,0,0
128665,10748505,5,12,eb4ea0,02,88,0eb4e,1,0,1,0,1,1,96,0eb4e,88,0,0,1,96,0,0,0,0
128666,10748713,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,63,63
128667,10748729,3,12,710380,12,85,17102,1,0,3,0,0,0,81,17102,85,1,1,1,81,0,0,63,63
128668,10748745,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,63,63
128669,10748761,5,12,eb4f40,02,88,0eb4e,1,0,3,0,0,0,96,0eb4e,88,1,1,1,96,0,0,63,63
128670,10748969,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,63,63
128671,10748985,3,12,710420,12,85,17103,1,0,1,0,1,1,80,17103,85,0,0,1,80,0,0,63,63
128672,10749001,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,63,63
128673,10749017,5,12,eb4fe0,02,88,0eb4f,1,0,1,0,1,1,7e,0eb4f,88,0,0,1,7e,0,0,63,63
128674,10749225,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,0,0
128675,10749241,3,12,7104c0,12,85,17104,1,0,1,0,1,1,81,17104,85,0,0,1,81,0,0,0,0
128676,10749257,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,0,0
128677,10749273,5,12,eb5080,02,88,0eb4f,1,0,3,0,0,0,7e,0eb4f,88,1,1,1,7e,0,0,0,0
128678,10749481,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,63,63
128679,10749497,3,12,710560,12,85,17104,1,0,3,0,0,0,81,17104,85,1,1,1,81,0,0,63,63
128680,10749513,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,63,63
128681,10749529,5,12,eb5120,02,88,0eb50,1,0,1,0,1,1,89,0eb50,88,0,0,1,89,0,0,63,63
128682,10749737,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,63,63
128683,10749753,3,12,710600,12,85,17105,1,0,1,0,1,1,84,17105,85,0,0,1,84,0,0,63,63
128684,10749769,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,63,63
128685,10749785,5,12,eb51c0,02,88,0eb51,1,0,1,0,1,1,89,0eb51,88,0,0,1,89,0,0,63,63
128686,10749993,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,252,252
128687,10750009,3,12,7106a0,12,85,17106,1,0,1,0,1,1,99,17106,85,0,0,1,99,0,0,252,252
128688,10750025,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,252,252
128689,10750041,5,12,eb5260,02,88,0eb51,1,0,3,0,0,0,89,0eb51,88,1,1,1,89,0,0,252,252
128690,10750249,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,1575,1575
128691,10750265,3,12,710740,12,85,17106,1,0,3,0,0,0,99,17106,85,1,1,1,99,0,0,1575,1575
128692,10750281,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,1575,1575
128693,10750297,5,12,eb0100,02,89,0eb00,1,1,3,0,1,1,80,0eb00,89,1,1,1,80,0,0,1575,1575
128694,10750505,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,1575,1575
128695,10750521,3,12,7107e0,12,85,17107,1,0,1,0,1,1,a9,17107,85,0,0,1,a9,0,0,1575,1575
128696,10750537,4,12,000000,22,4,20000,1,0,3,0,0,0,80,20000,4,1,1,1,80,0,0,1575,1575
128697,10750553,5,12,ea01a0,02,91,0ea01,1,0,3,0,1,1,80,0ea01,91,1,1,1,80,0,0,1575,1575
128698,10750761,2,12,000000,02,16,00000,1,0,3,0,0,0,7d,00000,16,1,1,1,7d,0,0,2047,2047
128699,10750777,3,12,710880,12,85,17107,1,0,3,0,0,0,a9,17107,85,1,1,1,a9,0,0,2047,2047
